Dates,Open,Close,Volume
02-12-2022 14:05,2749.45,2748.8,5366
02-12-2022 14:00,2748.9,2749.6,2410
02-12-2022 13:55,2749.5,2748.9,4740
02-12-2022 13:50,2747,2750,8007
02-12-2022 13:45,2746.95,2745.45,1971
02-12-2022 13:40,2743,2746,7750
02-12-2022 13:35,2744.4,2743,2801
02-12-2022 13:30,2742,2744.4,9470
02-12-2022 13:25,2744.15,2742.65,3111
02-12-2022 13:20,2744.7,2745,4701
02-12-2022 13:15,2744.9,2744.7,2405
02-12-2022 13:10,2742.6,2744.8,2517
02-12-2022 13:05,2747.25,2742.65,4968
02-12-2022 13:00,2746.35,2747.05,5596
02-12-2022 12:55,2748.6,2747.5,6466
02-12-2022 12:50,2745.2,2748.6,7179
02-12-2022 12:45,2742.4,2745.2,21651
02-12-2022 12:40,2735,2742,9158
02-12-2022 12:35,2741.65,2736.1,8417
02-12-2022 12:30,2742.95,2742.4,5502
02-12-2022 12:25,2743.55,2741.35,11265
02-12-2022 12:20,2742,2742.95,6548
02-12-2022 12:15,2738.35,2742.05,6817
02-12-2022 12:10,2736,2738.3,6187
02-12-2022 12:05,2735,2737.2,5882
02-12-2022 12:00,2737,2735.65,11982
02-12-2022 11:55,2739.8,2737,7810
02-12-2022 11:50,2737,2739.8,8727
02-12-2022 11:45,2744.85,2738.95,6302
02-12-2022 11:40,2745.3,2743.75,4923
02-12-2022 11:35,2746.5,2745.85,4083
02-12-2022 11:30,2744,2745,4128
02-12-2022 11:25,2748.35,2744.75,4587
02-12-2022 11:20,2748.4,2748.35,5989
02-12-2022 11:15,2746.45,2748.4,3537
02-12-2022 11:10,2747.95,2746,4153
02-12-2022 11:05,2744.95,2747.95,3593
02-12-2022 11:00,2747.4,2744.95,11940
02-12-2022 10:55,2747.5,2745.6,7584
02-12-2022 10:50,2746.35,2747.5,3631
02-12-2022 10:45,2747,2746.25,11085
02-12-2022 10:40,2747.3,2747.3,4188
02-12-2022 10:35,2748.9,2747.3,7420
02-12-2022 10:30,2746,2748.9,6567
02-12-2022 10:25,2739.95,2746,5389
02-12-2022 10:20,2747,2739.25,13114
02-12-2022 10:15,2746.95,2747,5868
02-12-2022 10:10,2747.5,2746,6973
02-12-2022 10:05,2748.3,2747.5,26446
02-12-2022 10:00,2739.95,2749.45,41683
02-12-2022 09:55,2748.1,2740,28941
02-12-2022 09:50,2763.8,2748.4,38145
02-12-2022 09:45,2763.95,2763.8,12823
02-12-2022 09:40,2773.9,2764.5,16617
02-12-2022 09:35,2775,2773.9,11428
02-12-2022 09:30,2782.1,2773.75,16438
02-12-2022 09:25,2774,2782.05,20790
02-12-2022 09:20,2788.9,2774,42751
02-12-2022 09:15,2842.1,2787.2,48903
02-12-2022 09:05,2849.95,2849.95,1306
01-12-2022 16:55,2834.25,2834.25,0
01-12-2022 15:55,2834.25,2834.25,5
01-12-2022 15:50,2834.25,2834.25,6
01-12-2022 15:45,2834.25,2834.25,39
01-12-2022 15:40,2834.25,2834.25,40
01-12-2022 15:30,2834.25,2834.25,18
01-12-2022 15:25,2809.9,2828.8,16391
01-12-2022 15:20,2821.05,2813.75,47517
01-12-2022 15:15,2842.6,2820.65,33067
01-12-2022 15:10,2827.3,2842.6,47076
01-12-2022 15:05,2853,2828.9,39046
01-12-2022 15:00,2874.85,2855.1,31980
01-12-2022 14:55,2882.4,2876.5,10629
01-12-2022 14:50,2873,2882.4,25962
01-12-2022 14:45,2869.1,2874.1,4498
01-12-2022 14:40,2868.3,2869.1,4078
01-12-2022 14:35,2874.4,2869.8,4545
01-12-2022 14:30,2871.8,2874.4,3637
01-12-2022 14:25,2867,2873,9500
01-12-2022 14:20,2871.2,2864.05,6430
01-12-2022 14:15,2872,2871.95,4921
01-12-2022 14:10,2873.1,2872.45,2630
01-12-2022 14:05,2876,2873.1,2764
01-12-2022 14:00,2869.9,2876,2872
01-12-2022 13:55,2875,2872.35,3453
01-12-2022 13:50,2878.7,2876.5,2687
01-12-2022 13:45,2879.95,2877.15,6583
01-12-2022 13:40,2868.05,2880,7936
01-12-2022 13:35,2872.75,2869.85,5541
01-12-2022 13:30,2872.95,2873,3615
01-12-2022 13:25,2875.4,2872.95,7564
01-12-2022 13:20,2879.9,2875.85,5218
01-12-2022 13:15,2878.65,2879.45,2259
01-12-2022 13:10,2879.5,2879.8,6776
01-12-2022 13:05,2883.9,2881.25,2278
01-12-2022 13:00,2883.9,2883.9,3841
01-12-2022 12:55,2880.25,2883.9,4496
01-12-2022 12:50,2886.8,2880.3,3945
01-12-2022 12:45,2887.6,2886.8,1866
01-12-2022 12:40,2887.75,2887.7,2088
01-12-2022 12:35,2889.4,2886.7,2340
01-12-2022 12:30,2889.25,2889.4,3160
01-12-2022 12:25,2896.05,2891,4475
01-12-2022 12:20,2901.75,2895,3355
01-12-2022 12:15,2892.65,2901,8025
01-12-2022 12:10,2901.5,2890.2,13606
01-12-2022 12:05,2877.45,2902.25,21584
01-12-2022 12:00,2872,2874.05,10566
01-12-2022 11:55,2871,2872.15,11588
01-12-2022 11:50,2881.8,2871,9114
01-12-2022 11:45,2883.5,2883.65,5163
01-12-2022 11:40,2890.45,2882,8340
01-12-2022 11:35,2885.3,2892.65,9463
01-12-2022 11:30,2895.7,2886.95,14506
01-12-2022 11:25,2901,2895.75,6793
01-12-2022 11:20,2899,2900.1,6217
01-12-2022 11:15,2909,2897.75,12146
01-12-2022 11:10,2911.35,2909,3144
01-12-2022 11:05,2910.65,2911.35,2716
01-12-2022 11:00,2911.65,2910.65,5888
01-12-2022 10:55,2913.5,2910.15,3197
01-12-2022 10:50,2912.9,2913.5,2934
01-12-2022 10:45,2909.55,2912.9,5851
01-12-2022 10:40,2912.5,2910.85,6943
01-12-2022 10:35,2909,2912.5,70518
01-12-2022 10:30,2908.7,2909,9198
01-12-2022 10:25,2914.05,2910,29015
01-12-2022 10:20,2924.75,2917.35,4354
01-12-2022 10:15,2916.15,2924.75,12627
01-12-2022 10:10,2914.7,2915.5,7117
01-12-2022 10:05,2907,2912.7,13506
01-12-2022 10:00,2917.1,2912,5645
01-12-2022 09:55,2916.9,2918,6836
01-12-2022 09:50,2918.7,2916.95,12647
01-12-2022 09:45,2930.4,2918.8,18272
01-12-2022 09:40,2927.5,2930.4,7513
01-12-2022 09:35,2932.8,2926,12354
01-12-2022 09:30,2921.7,2932.8,15849
01-12-2022 09:25,2938.25,2920,29151
01-12-2022 09:20,2940.4,2936.1,26620
01-12-2022 09:15,2980.75,2940.1,71010
01-12-2022 09:05,2971.6,2971.6,3522
30-11-2022 16:55,2908.5,2908.5,0
30-11-2022 15:55,2908.5,2908.5,5
30-11-2022 15:50,2908.5,2908.5,1
30-11-2022 15:45,2908.5,2908.5,1
30-11-2022 15:40,2908.5,2908.5,11
30-11-2022 15:30,2908.5,2908.5,15
30-11-2022 15:25,2959.95,2950,67465
30-11-2022 15:20,2965,2959.95,133462
30-11-2022 15:15,2913.3,2962.6,155181
30-11-2022 15:10,2887.35,2911.45,191063
30-11-2022 15:05,2866.75,2888.4,171190
30-11-2022 15:00,2848.2,2869.95,206999
30-11-2022 14:55,2846.5,2845.35,15086
30-11-2022 14:50,2846,2845,19634
30-11-2022 14:45,2843.55,2845,24236
30-11-2022 14:40,2845.1,2842,18722
30-11-2022 14:35,2839.8,2845.1,23737
30-11-2022 14:30,2838.4,2839.8,25493
30-11-2022 14:25,2826.4,2839.55,23991
30-11-2022 14:20,2826.65,2826.3,13336
30-11-2022 14:15,2824.05,2826.25,22071
30-11-2022 14:10,2820.05,2825,10995
30-11-2022 14:05,2820.3,2820.05,2013
30-11-2022 14:00,2820.15,2820.15,2312
30-11-2022 13:55,2817.5,2820.15,5538
30-11-2022 13:50,2808.05,2817.6,3708
30-11-2022 13:45,2814,2808.3,7910
30-11-2022 13:40,2816.65,2814,1928
30-11-2022 13:35,2816.5,2816.65,1377
30-11-2022 13:30,2820.2,2816.9,1564
30-11-2022 13:25,2821.15,2820.45,1801
30-11-2022 13:20,2818.8,2821.15,2521
30-11-2022 13:15,2821.55,2818.55,6926
30-11-2022 13:10,2821.35,2821.55,4331
30-11-2022 13:05,2821.25,2820.1,4699
30-11-2022 13:00,2819.1,2821.25,6914
30-11-2022 12:55,2817.65,2819.1,4718
30-11-2022 12:50,2818.15,2817.65,1441
30-11-2022 12:45,2816.2,2818.5,4057
30-11-2022 12:40,2817.15,2816.35,3306
30-11-2022 12:35,2817,2817.15,1675
30-11-2022 12:30,2813.7,2817,2388
30-11-2022 12:25,2814.6,2812.1,4771
30-11-2022 12:20,2816.95,2814.6,3037
30-11-2022 12:15,2817.75,2816.95,1465
30-11-2022 12:10,2817.95,2817.75,2965
30-11-2022 12:05,2818.2,2816.25,2852
30-11-2022 12:00,2820.05,2818.2,5097
30-11-2022 11:55,2820.3,2821.4,1375
30-11-2022 11:50,2820.25,2820.25,883
30-11-2022 11:45,2822.95,2820.25,2017
30-11-2022 11:40,2821.2,2822.9,1921
30-11-2022 11:35,2821.4,2821.2,3978
30-11-2022 11:30,2819.3,2821.35,1741
30-11-2022 11:25,2821.55,2819.3,2696
30-11-2022 11:20,2825,2821.55,5440
30-11-2022 11:15,2818.9,2825,5234
30-11-2022 11:10,2817.05,2817.15,1843
30-11-2022 11:05,2820,2816.9,3498
30-11-2022 11:00,2816.25,2818.85,2764
30-11-2022 10:55,2817,2817.5,7682
30-11-2022 10:50,2812,2817,7322
30-11-2022 10:45,2814,2812,3891
30-11-2022 10:40,2812,2814.85,5278
30-11-2022 10:35,2812.6,2812,3442
30-11-2022 10:30,2813.9,2811,3153
30-11-2022 10:25,2811,2810.5,2955
30-11-2022 10:20,2810.1,2811.2,2616
30-11-2022 10:15,2817.65,2810.5,4438
30-11-2022 10:10,2815.5,2816.05,3509
30-11-2022 10:05,2819,2815.6,9860
30-11-2022 10:00,2801.35,2819,14158
30-11-2022 09:55,2804.2,2802,5478
30-11-2022 09:50,2810,2804.2,8528
30-11-2022 09:45,2801.45,2811,17621
30-11-2022 09:40,2815,2802,22286
30-11-2022 09:35,2832,2814.3,23279
30-11-2022 09:30,2838.2,2833.5,19861
30-11-2022 09:25,2847.75,2838.2,31403
30-11-2022 09:20,2862.9,2852,28225
30-11-2022 09:15,2821.95,2862.85,57973
30-11-2022 09:05,2819.2,2819.2,872
29-11-2022 16:55,2782.7,2782.7,0
29-11-2022 15:55,2782.7,2782.7,20
29-11-2022 15:50,2782.7,2782.7,33
29-11-2022 15:30,2782.7,2782.7,3
29-11-2022 15:25,2778,2790,11419
29-11-2022 15:20,2776.1,2777.6,23241
29-11-2022 15:15,2782,2776.05,34189
29-11-2022 15:10,2782,2781.95,13781
29-11-2022 15:05,2780,2782,12886
29-11-2022 15:00,2775.8,2780,12361
29-11-2022 14:55,2771,2775.15,10363
29-11-2022 14:50,2772,2771,3267
29-11-2022 14:45,2773,2772,4617
29-11-2022 14:40,2773.05,2772.8,3409
29-11-2022 14:35,2776.2,2773.05,5618
29-11-2022 14:30,2774.85,2776.35,6040
29-11-2022 14:25,2773.5,2775,3546
29-11-2022 14:20,2782,2773,7859
29-11-2022 14:15,2781.25,2782,5668
29-11-2022 14:10,2781,2779.3,7534
29-11-2022 14:05,2773.05,2781,12875
29-11-2022 14:00,2773.95,2773.05,2990
29-11-2022 13:55,2772.65,2772.2,1903
29-11-2022 13:50,2770,2772.65,2104
29-11-2022 13:45,2769.2,2773.4,6534
29-11-2022 13:40,2769,2770,3235
29-11-2022 13:35,2768.75,2767.45,3576
29-11-2022 13:30,2768.1,2767.15,3240
29-11-2022 13:25,2770,2769.55,5599
29-11-2022 13:20,2773.6,2769,9758
29-11-2022 13:15,2774,2773.55,2929
29-11-2022 13:10,2773.1,2774.7,3441
